strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
cpm,35,5071.5,586,105,0.625,1,1,5.76,0.821,8,7,3
cpm,36,3443.0,545,119,0.643,1,2,5.31,0.782,11,11,3
cpm,37,5705.0,541,120,0.633,0,2,5.58,0.778,8,8,3
cpm,38,4190.0,601,100,0.492,0,1,6.04,0.834,4,4,1
cpm,39,3783.2,556,115,0.696,0,2,5.27,0.793,9,8,3
cpm,40,5789.4,596,102,0.612,0,1,6.12,0.829,5,5,3
cpm,41,3972.0,568,111,0.595,1,3,6.0,0.805,8,8,3
cpm,42,3512.6000000000004,556,115,0.723,1,0,5.71,0.793,10,9,3
cpm,43,3714.5,590,104,0.726,0,0,5.23,0.824,8,6,3
cpm,44,5362.4,585,106,0.699,0,1,6.46,0.819,9,7,3
cpm,45,3917.8,565,113,0.624,0,2,6.15,0.8,7,7,3
cpm,46,4578.6,507,132,0.724,3,1,4.87,0.74,9,8,3
cpm,47,5293.200000000001,584,106,0.696,1,0,6.47,0.818,7,4,3
cpm,48,3826.6000000000004,586,105,0.57,0,1,6.16,0.821,8,7,3
cpm,49,3482.6,514,129,0.717,2,3,5.24,0.749,8,8,3
cpm_enhanced,0,4282.5,565,112,0.671,1,3,6.27,0.802,10,9,3
cpm_enhanced,1,2364.5,613,96,0.711,0,1,6.28,0.843,3,3,3
cpm_enhanced,2,3014.2000000000003,604,99,0.694,2,0,6.82,0.836,7,4,3
cpm_enhanced,3,3124.3,622,93,0.541,0,0,5.39,0.85,7,6,3
cpm_enhanced,4,4907.6,553,116,0.698,2,3,5.07,0.79,9,9,3
cpm_enhanced,5,4903.2,532,124,0.626,0,0,5.64,0.767,11,8,3
cpm_enhanced,6,5702.3,591,104,0.753,0,0,6.04,0.824,4,4,3
cpm_enhanced,7,4762.6,527,125,0.698,2,3,5.31,0.763,9,9,3
cpm_enhanced,8,3622.8,574,109,0.65,0,2,5.21,0.81,10,9,3
cpm_enhanced,9,5967.1,571,110,0.676,0,1,6.42,0.807,9,7,3
cpm_enhanced,10,4781.400000000001,622,93,0.653,0,2,6.55,0.85,5,5,3
cpm_enhanced,11,6915.6,619,95,0.447,0,0,7.04,0.847,6,4,3
cpm_enhanced,12,5249.9,518,128,0.607,0,4,5.98,0.753,9,9,3
cpm_enhanced,13,4379.5,577,108,0.61,0,0,5.53,0.813,7,4,3
cpm_enhanced,14,4037.8,625,92,0.533,0,0,6.62,0.853,6,5,2
cpm_enhanced,15,4473.6,541,120,0.679,3,1,5.86,0.778,11,10,3
cpm_enhanced,16,6231.0,581,107,0.548,0,1,6.62,0.816,10,8,3
cpm_enhanced,17,5818.6,541,120,0.602,0,1,5.45,0.778,9,9,3
cpm_enhanced,18,4121.6,529,124,0.684,1,3,5.72,0.766,12,11,3
cpm_enhanced,19,4356.0,553,116,0.709,4,1,5.88,0.79,10,7,3
cpm_enhanced,20,4279.6,570,111,0.687,1,1,5.85,0.805,9,8,3
cpm_enhanced,21,3977.0,565,112,0.641,0,0,6.0,0.802,8,7,3
cpm_enhanced,22,5368.2,574,109,0.627,0,0,4.93,0.81,11,9,3
cpm_enhanced,23,4604.0,573,110,0.59,0,1,5.92,0.808,9,9,3
cpm_enhanced,24,5330.700000000001,536,122,0.66,1,2,6.05,0.772,8,5,3
cpm_enhanced,25,3697.4000000000005,533,123,0.687,2,1,5.87,0.769,8,6,3
cpm_enhanced,26,6054.2,520,128,0.725,0,5,6.26,0.754,12,12,3
cpm_enhanced,27,4469.1,542,120,0.599,0,4,6.56,0.779,10,8,3
cpm_enhanced,28,4453.299999999999,625,92,0.657,0,0,6.09,0.853,5,3,3
cpm_enhanced,29,4382.0,565,112,0.703,1,1,6.07,0.802,10,8,3
cpm_enhanced,30,3903.6000000000004,595,102,0.58,0,2,5.76,0.829,7,6,3
cpm_enhanced,31,3976.3999999999996,538,121,0.752,1,1,5.91,0.775,11,11,3
cpm_enhanced,32,3530.8,526,125,0.694,2,0,5.19,0.762,11,11,3
cpm_enhanced,33,5626.0,544,119,0.704,0,1,5.43,0.781,11,10,3
cpm_enhanced,34,4443.5,598,102,0.625,0,1,6.06,0.829,5,5,3
cpm_enhanced,35,5071.5,586,105,0.625,1,1,5.76,0.821,8,7,3
cpm_enhanced,36,3443.0,545,119,0.643,1,2,5.31,0.782,11,11,3
cpm_enhanced,37,6263.0,547,118,0.643,0,3,6.11,0.784,10,10,3
cpm_enhanced,38,4022.6,616,96,0.506,0,2,6.66,0.844,4,4,1
cpm_enhanced,39,3783.2,556,115,0.696,0,2,5.27,0.793,9,8,3
cpm_enhanced,40,5789.4,596,102,0.612,0,1,6.12,0.829,5,5,3
cpm_enhanced,41,3972.0,568,111,0.595,1,3,6.0,0.805,8,8,3
cpm_enhanced,42,3512.6000000000004,556,115,0.723,1,0,5.71,0.793,10,9,3
cpm_enhanced,43,3714.5,590,104,0.726,0,0,5.23,0.824,8,6,3
cpm_enhanced,44,5362.4,585,106,0.699,0,1,6.46,0.819,9,7,3
cpm_enhanced,45,3917.8,565,113,0.624,0,2,6.15,0.8,7,7,3
cpm_enhanced,46,4578.6,507,132,0.724,3,1,4.87,0.74,9,8,3
cpm_enhanced,47,5293.200000000001,584,106,0.696,1,0,6.47,0.818,7,4,3
cpm_enhanced,48,3826.6000000000004,586,105,0.57,0,1,6.16,0.821,8,7,3
cpm_enhanced,49,4561.6,559,114,0.743,0,1,5.86,0.796,9,8,3
visibility_aware,0,4282.5,565,112,0.671,1,3,6.27,0.802,10,9,3
visibility_aware,1,2364.5,613,96,0.711,0,1,6.28,0.843,3,3,3
visibility_aware,2,3014.2000000000003,604,99,0.694,2,0,6.82,0.836,7,4,3
visibility_aware,3,3124.3,622,93,0.541,0,0,5.39,0.85,7,6,3
visibility_aware,4,4907.6,553,116,0.698,2,3,5.07,0.79,9,9,3
visibility_aware,5,4903.2,532,124,0.626,0,0,5.64,0.767,11,8,3
visibility_aware,6,5702.3,591,104,0.753,0,0,6.04,0.824,4,4,3
visibility_aware,7,4762.6,527,125,0.698,2,3,5.31,0.763,9,9,3
visibility_aware,8,3622.8,574,109,0.65,0,2,5.21,0.81,10,9,3
visibility_aware,9,5967.1,571,110,0.676,0,1,6.42,0.807,9,7,3
visibility_aware,10,4781.400000000001,622,93,0.653,0,2,6.55,0.85,5,5,3
visibility_aware,11,6915.6,619,95,0.447,0,0,7.04,0.847,6,4,3
visibility_aware,12,5249.9,518,128,0.607,0,4,5.98,0.753,9,9,3
visibility_aware,13,4379.5,577,108,0.61,0,0,5.53,0.813,7,4,3
visibility_aware,14,4037.8,625,92,0.533,0,0,6.62,0.853,6,5,2
visibility_aware,15,4473.6,541,120,0.679,3,1,5.86,0.778,11,10,3
visibility_aware,16,6231.0,581,107,0.548,0,1,6.62,0.816,10,8,3
visibility_aware,17,5818.6,541,120,0.602,0,1,5.45,0.778,9,9,3
visibility_aware,18,4121.6,529,124,0.684,1,3,5.72,0.766,12,11,3
visibility_aware,19,4356.0,553,116,0.709,4,1,5.88,0.79,10,7,3
visibility_aware,20,4279.6,570,111,0.687,1,1,5.85,0.805,9,8,3
visibility_aware,21,3977.0,565,112,0.641,0,0,6.0,0.802,8,7,3
visibility_aware,22,5368.2,574,109,0.627,0,0,4.93,0.81,11,9,3
visibility_aware,23,4604.0,573,110,0.59,0,1,5.92,0.808,9,9,3
visibility_aware,24,5330.700000000001,536,122,0.66,1,2,6.05,0.772,8,5,3
visibility_aware,25,3697.4000000000005,533,123,0.687,2,1,5.87,0.769,8,6,3
visibility_aware,26,6054.2,520,128,0.725,0,5,6.26,0.754,12,12,3
visibility_aware,27,4469.1,542,120,0.599,0,4,6.56,0.779,10,8,3
visibility_aware,28,4453.299999999999,625,92,0.657,0,0,6.09,0.853,5,3,3
visibility_aware,29,4382.0,565,112,0.703,1,1,6.07,0.802,10,8,3
visibility_aware,30,3903.6000000000004,595,102,0.58,0,2,5.76,0.829,7,6,3
visibility_aware,31,3976.3999999999996,538,121,0.752,1,1,5.91,0.775,11,11,3
visibility_aware,32,3530.8,526,125,0.694,2,0,5.19,0.762,11,11,3
visibility_aware,33,5626.0,544,119,0.704,0,1,5.43,0.781,11,10,3
visibility_aware,34,4443.5,598,102,0.625,0,1,6.06,0.829,5,5,3
visibility_aware,35,5071.5,586,105,0.625,1,1,5.76,0.821,8,7,3
visibility_aware,36,3443.0,545,119,0.643,1,2,5.31,0.782,11,11,3
visibility_aware,37,6263.0,547,118,0.643,0,3,6.11,0.784,10,10,3
visibility_aware,38,4022.6,616,96,0.506,0,2,6.66,0.844,4,4,1
visibility_aware,39,3783.2,556,115,0.696,0,2,5.27,0.793,9,8,3
visibility_aware,40,5789.4,596,102,0.612,0,1,6.12,0.829,5,5,3
