strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
delay_aware_v2,29,4382.0,543,120,0.686,0,2,6.24,0.779,11,9,3
delay_aware_v2,30,4107.4,583,106,0.575,0,2,6.39,0.818,8,7,3
delay_aware_v2,31,4183.4,514,130,0.736,2,1,5.56,0.747,14,12,3
delay_aware_v2,32,4294.0,502,133,0.676,3,1,4.92,0.735,13,12,3
delay_aware_v2,33,5986.8,514,129,0.652,0,1,4.74,0.749,12,12,3
delay_aware_v2,34,4832.0,578,108,0.619,0,0,5.75,0.813,7,7,3
delay_aware_v2,35,3979.7000000000003,556,116,0.596,0,1,5.38,0.791,10,10,3
delay_aware_v2,36,3404.5999999999995,553,116,0.608,2,1,5.4,0.79,9,9,3
delay_aware_v2,37,5705.0,512,130,0.631,0,5,5.56,0.746,11,11,3
delay_aware_v2,38,4190.0,601,100,0.492,0,1,6.04,0.834,4,4,1
delay_aware_v2,39,4028.3,547,118,0.684,0,0,5.14,0.784,9,8,3
delay_aware_v2,40,5789.4,589,104,0.626,0,2,6.37,0.823,8,8,3
delay_aware_v2,41,4051.0,544,119,0.554,0,3,5.93,0.781,10,9,3
delay_aware_v2,42,3127.6000000000004,535,122,0.709,0,0,5.31,0.772,11,10,3
delay_aware_v2,43,3644.8,566,112,0.695,1,2,5.51,0.802,8,6,3
delay_aware_v2,44,5362.4,589,105,0.692,0,1,6.83,0.822,9,6,3
delay_aware_v2,45,4805.299999999999,550,117,0.578,2,1,5.86,0.787,8,7,3
delay_aware_v2,46,4807.8,463,146,0.709,3,2,4.6,0.685,11,11,3
delay_aware_v2,47,4834.200000000001,598,101,0.69,1,0,6.45,0.831,7,4,3
delay_aware_v2,48,3880.0,586,105,0.579,0,1,6.22,0.821,8,7,3
delay_aware_v2,49,3272.0,520,127,0.711,2,5,5.87,0.756,14,13,3
delay_aware_v3,0,4548.700000000001,556,115,0.656,0,3,6.07,0.793,11,10,3
delay_aware_v3,1,2505.3,571,110,0.601,7,1,6.05,0.807,5,4,3
delay_aware_v3,2,3616.7999999999997,529,124,0.604,5,0,5.46,0.766,13,10,3
delay_aware_v3,3,5001.4,538,121,0.413,0,2,4.93,0.775,13,12,3
delay_aware_v3,4,4234.799999999999,550,117,0.64,4,4,5.49,0.787,9,6,3
delay_aware_v3,5,5751.1,520,127,0.588,2,0,5.62,0.756,12,9,3
delay_aware_v3,6,4943.0,508,131,0.596,3,2,5.75,0.742,9,7,3
delay_aware_v3,7,4870.7,457,148,0.632,1,6,5.19,0.676,16,15,3
delay_aware_v3,8,3933.7000000000003,577,108,0.594,0,1,5.01,0.813,8,6,3
delay_aware_v3,9,5586.5,520,127,0.593,0,3,6.08,0.756,12,9,3
